# The servers list file, format is;
# TLD|Whois server|Avail string|Default info server|Backup info server|Search for info server by string
# Make sense? of course not!
com|whois.crsnic.net|No match for|whois.networksolutions.com|whois.internic.net|Whois Server: 
net|whois.crsnic.net|No match for|whois.networksolutions.com|whois.internic.net|Whois Server: 
org|whois.crsnic.net|No match for|whois.networksolutions.com|whois.internic.net|Whois Server: 
co.uk|whois.nic.uk|No match|whois.nic.uk|whois.nic.uk|
org.uk|whois.nic.uk|No match|whois.nic.uk|whois.nic.uk|
ltd.uk|whois.nic.uk|No match|whois.nic.uk|whois.nic.uk|
plc.uk|whois.nic.uk|No match|whois.nic.uk|whois.nic.uk|
me.uk|whois.nic.uk|No match|whois.nic.uk|whois.nic.uk|
edu|whois.internic.net|No match|whois.networksolutions.com|whois.internic.net|
mil|whois.internic.net|No match|whois.networksolutions.com|whois.internic.net|
br.com|whois.centralnic.com|No match|whois.centralnic.com|whois.centralnic.com|
cn.com|whois.centralnic.com|No match|whois.centralnic.com|whois.centralnic.com|
eu.com|whois.centralnic.com|No match|whois.centralnic.com|whois.centralnic.com|
hu.com|whois.centralnic.com|No match|whois.centralnic.com|whois.centralnic.com|
no.com|whois.centralnic.com|No match|whois.centralnic.com|whois.centralnic.com|
qc.com|whois.centralnic.com|No match|whois.centralnic.com|whois.centralnic.com|
sa.com|whois.centralnic.com|No match|whois.centralnic.com|whois.centralnic.com|
se.com|whois.centralnic.com|No match|whois.centralnic.com|whois.centralnic.com|
se.net|whois.centralnic.com|No match|whois.centralnic.com|whois.centralnic.com|
us.com|whois.centralnic.com|No match|whois.centralnic.com|whois.centralnic.com|
uy.com|whois.centralnic.com|No match|whois.centralnic.com|whois.centralnic.com|
za.com|whois.centralnic.com|No match|whois.centralnic.com|whois.centralnic.com|
ac|whois.nic.ac|No match for|whois.nic.ac|whois.nic.ac|
co.ac|whois.nic.ac|No match for|whois.nic.ac|whois.nic.ac|
gv.ac|whois.nic.ac|No match for|whois.nic.ac|whois.nic.ac|
or.ac|whois.nic.ac|No match for|whois.nic.ac|whois.nic.ac|
ac.ac|whois.nic.ac|No match for|whois.nic.ac|whois.nic.ac|
af|whois.netnames.net|No Match|whois.netnames.net|whois.netnames.net|
am|whois.nic.am|No information available|whois.nic.am|whois.nic.am|
as|whois.nic.as|Domain Not Found|whois.nic.as|whois.nic.as|
at|whois.nic.at|nothing found|whois.nic.at|whois.nic.at|
ac.at|whois.nic.at|nothing found|whois.nic.at|whois.nic.at|
co.at|whois.nic.at|nothing found|whois.nic.at|whois.nic.at|
gv.at|whois.nic.at|nothing found|whois.nic.at|whois.nic.at|
or.at|whois.nic.at|nothing found|whois.nic.at|whois.nic.at|
asn.au|whois.aunic.net|No entries found|whois.aunic.net|whois.aunic.net|
com.au|whois.aunic.net|No entries found|whois.aunic.net|whois.aunic.net|
edu.au|whois.aunic.net|No entries found|whois.aunic.net|whois.aunic.net|
org.au|whois.aunic.net|No entries found|whois.aunic.net|whois.aunic.net|
net.au|whois.connect.com.au|% referto: whois -h whois.aunic.net -p 43 -s AUNIC -T domain |whois.connect.com.au|whois.connect.com.au|
be|whois.dns.be|No such domain|whois.dns.be|whois.dns.be|
ac.be|whois.dns.be|No such domain|whois.dns.be|whois.dns.be|
br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
adm.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
adv.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
am.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
arq.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
art.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
bio.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
cng.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
cnt.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
com.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
ecn.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
eng.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
esp.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
etc.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
eti.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
fm.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
fot.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
fst.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
g12.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
gov.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
ind.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
inf.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
jor.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
lel.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
med.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
mil.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
net.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
nom.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
ntr.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
odo.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
org.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
ppg.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
pro.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
psc.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
psi.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
rec.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
slg.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
tmp.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
tur.br|whois.nic.br|No match for|whois.nic.br|whois.nic.br|
